"transaction_id","customer_id","store","date","subtotal","discount","discount_amount","tax","total_amount"
80,56,"Dallas",2024-09-10,282.5,"none",0,22.6,305.1
81,122,"Dallas",2024-11-13,448,"none",0,35.84,483.84
82,335,"Houston",2024-02-04,22.79,"coupon",2.28,1.82,22.33
83,209,"Dallas",2024-08-11,206.37,"coupon",20.64,16.51,202.24
84,395,"Austin",2024-03-29,1141.48,"none",0,91.32,1232.8
85,52,"San Antonio",2024-06-20,1142.94,"loyalty",114.29,91.44,1120.09
86,218,"Dallas",2024-04-13,317.58,"coupon",31.76,25.41,311.23
87,493,"Houston",2024-12-02,192.48,"none",0,15.4,207.88
88,447,"Houston",2024-05-26,256.5,"sale",25.65,20.52,251.37
89,444,"Fort Worth",2024-07-25,407.62,"coupon",40.76,32.61,399.47
90,88,"Austin",2024-01-30,134.97,"none",0,10.8,145.77
91,66,"Fort Worth",2024-12-11,512.37,"none",0,40.99,553.36
92,327,"Houston",2024-09-26,431.79,"none",0,34.54,466.33
93,172,"Houston",2024-06-22,528.98,"none",0,42.32,571.3
94,329,"Houston",2024-03-07,909.5,"none",0,72.76,982.26
95,161,"San Antonio",2024-09-24,295.87,"none",0,23.67,319.54
96,94,"San Antonio",2024-08-12,635.35,"coupon",63.54,50.83,622.64
97,392,"Fort Worth",2024-01-23,880.49,"sale",88.05,70.44,862.88
98,47,"San Antonio",2024-01-20,117.79,"loyalty",11.78,9.42,115.43
99,234,"Dallas",2024-06-15,233.37,"loyalty",23.34,18.67,228.7
100,256,"Houston",2024-03-07,899.95,"none",0,72,971.95
101,300,"Fort Worth",2024-06-28,763.12,"coupon",76.31,61.05,747.86
102,167,"San Antonio",2024-12-25,533.94,"none",0,42.72,576.66
103,245,"Dallas",2024-03-23,457.5,"loyalty",45.75,36.6,448.35
104,478,"San Antonio",2024-09-17,480.29,"sale",48.03,38.42,470.68
105,242,"Fort Worth",2024-02-24,554.87,"coupon",55.49,44.39,543.77
106,446,"Austin",2024-07-11,49.58,"coupon",4.96,3.97,48.59
107,458,"Austin",2024-10-30,260.99,"none",0,20.88,281.87
108,305,"Fort Worth",2024-02-16,304,"none",0,24.32,328.32
109,206,"Fort Worth",2024-10-27,253.29,"sale",25.33,20.26,248.22
110,74,"San Antonio",2024-03-31,325.74,"sale",32.57,26.06,319.23
111,468,"Houston",2024-02-05,912.06,"coupon",91.21,72.96,893.81
112,151,"Fort Worth",2024-02-29,333.35,"none",0,26.67,360.02
113,31,"Austin",2024-08-31,612.06,"none",0,48.96,661.02
114,474,"Dallas",2024-09-04,456.15,"loyalty",45.62,36.49,447.02
115,361,"Dallas",2024-02-18,506,"loyalty",50.6,40.48,495.88
116,72,"Dallas",2024-12-24,560.58,"none",0,44.85,605.43
117,275,"Austin",2024-02-23,472.56,"coupon",47.26,37.8,463.1
118,478,"Fort Worth",2024-12-10,276.98,"none",0,22.16,299.14
119,293,"Dallas",2024-09-13,99.96,"coupon",10,8,97.96
120,203,"Austin",2024-07-26,586.38,"sale",58.64,46.91,574.65
121,324,"Dallas",2024-03-31,25.5,"sale",2.55,2.04,24.99
122,160,"Houston",2024-05-04,174.16,"coupon",17.42,13.93,170.67
123,154,"San Antonio",2024-11-03,260.35,"none",0,20.83,281.18
124,110,"Dallas",2024-12-03,1448.46,"none",0,115.88,1564.34
125,185,"Houston",2024-07-07,1776.61,"sale",177.66,142.13,1741.08
126,493,"Houston",2024-11-21,120.5,"none",0,9.64,130.14
127,78,"Fort Worth",2024-09-14,910.54,"sale",91.05,72.84,892.33
128,46,"Austin",2024-06-04,269.58,"loyalty",26.96,21.57,264.19
129,71,"Houston",2024-04-19,492.16,"loyalty",49.22,39.37,482.31
130,346,"Austin",2024-12-18,32.29,"sale",3.23,2.58,31.64
131,310,"Austin",2024-02-15,117.79,"none",0,9.42,127.21
132,446,"Fort Worth",2024-09-06,445.54,"none",0,35.64,481.18
133,337,"San Antonio",2024-10-27,750.78,"none",0,60.06,810.84
134,369,"Austin",2024-03-20,53.96,"none",0,4.32,58.28
135,261,"San Antonio",2024-08-05,77.98,"coupon",7.8,6.24,76.42
136,330,"San Antonio",2024-02-29,151.58,"loyalty",15.16,12.13,148.55
137,411,"Dallas",2024-05-28,497.49,"loyalty",49.75,39.8,487.54
138,394,"Dallas",2024-03-28,80.5,"sale",8.05,6.44,78.89
139,490,"Austin",2024-07-12,519.87,"sale",51.99,41.59,509.47
140,220,"Dallas",2024-09-02,1092.45,"loyalty",109.25,87.4,1070.6
141,156,"Fort Worth",2024-11-28,470.94,"coupon",47.09,37.68,461.53
142,205,"Austin",2024-05-01,199,"none",0,15.92,214.92
143,6,"Houston",2024-03-29,235.99,"none",0,18.88,254.87
144,92,"Fort Worth",2024-04-23,217.16,"none",0,17.37,234.53
145,422,"Dallas",2024-03-24,324.37,"none",0,25.95,350.32
146,116,"Austin",2024-02-15,150.99,"none",0,12.08,163.07
147,120,"San Antonio",2024-04-07,350.96,"none",0,28.08,379.04
148,39,"San Antonio",2024-12-04,1568.55,"none",0,125.48,1694.03
149,123,"Dallas",2024-01-21,400.98,"coupon",40.1,32.08,392.96
150,367,"Houston",2024-07-02,206.65,"coupon",20.67,16.53,202.51
151,424,"Fort Worth",2024-10-17,646.22,"none",0,51.7,697.92
152,249,"Austin",2024-11-02,1470.5,"sale",147.05,117.64,1441.09
153,194,"San Antonio",2024-07-29,885.29,"coupon",88.53,70.82,867.58
154,124,"Fort Worth",2024-03-29,87,"none",0,6.96,93.96
155,56,"Austin",2024-08-01,2480.75,"none",0,198.46,2679.21
156,195,"Dallas",2024-02-20,62,"none",0,4.96,66.96
157,286,"Houston",2024-06-25,144.76,"loyalty",14.48,11.58,141.86
158,109,"Fort Worth",2024-02-04,167,"sale",16.7,13.36,163.66
159,223,"Austin",2024-04-21,595.46,"none",0,47.64,643.1
160,109,"Dallas",2024-09-04,440.99,"loyalty",44.1,35.28,432.17
161,252,"Dallas",2024-03-16,736.99,"sale",73.7,58.96,722.25
162,177,"Dallas",2024-05-24,840.48,"none",0,67.24,907.72
163,325,"Austin",2024-10-20,445.27,"coupon",44.53,35.62,436.36
164,188,"Dallas",2024-03-24,151.46,"coupon",15.15,12.12,148.43
165,178,"Houston",2024-01-29,461.48,"loyalty",46.15,36.92,452.25
166,267,"Houston",2024-10-11,1259.69,"sale",125.97,100.78,1234.5
167,371,"San Antonio",2024-09-02,295.06,"none",0,23.6,318.66
168,111,"Dallas",2024-07-06,453.99,"sale",45.4,36.32,444.91
169,207,"Houston",2024-03-19,88,"coupon",8.8,7.04,86.24
170,133,"Fort Worth",2024-03-09,45,"loyalty",4.5,3.6,44.1
171,315,"Austin",2024-08-11,549.29,"none",0,43.94,593.23
172,92,"Austin",2024-01-15,17,"loyalty",1.7,1.36,16.66
173,432,"San Antonio",2024-03-24,1021.29,"none",0,81.7,1102.99
174,374,"Fort Worth",2024-10-28,674.55,"loyalty",67.46,53.96,661.05
175,335,"Dallas",2024-04-19,358.99,"sale",35.9,28.72,351.81
176,310,"Austin",2024-01-06,424,"none",0,33.92,457.92
177,187,"San Antonio",2024-12-17,62.77,"none",0,5.02,67.79
178,265,"Dallas",2024-02-02,1534.43,"sale",153.44,122.75,1503.74
179,438,"Houston",2024-09-30,156,"none",0,12.48,168.48
180,291,"San Antonio",2024-11-01,190.37,"coupon",19.04,15.23,186.56
181,420,"Houston",2024-01-06,145.53,"sale",14.55,11.64,142.62
182,157,"Dallas",2024-11-08,1562.49,"coupon",156.25,125,1531.24
183,355,"San Antonio",2024-07-20,72.5,"none",0,5.8,78.3
184,133,"Fort Worth",2024-05-04,117.5,"loyalty",11.75,9.4,115.15
185,298,"San Antonio",2024-04-29,287,"coupon",28.7,22.96,281.26
186,241,"Houston",2024-08-21,79,"none",0,6.32,85.32
187,133,"Dallas",2024-02-16,353.04,"sale",35.3,28.24,345.98
188,283,"San Antonio",2024-04-23,1284.5,"coupon",128.45,102.76,1258.81
189,457,"San Antonio",2024-08-01,45.58,"none",0,3.65,49.23
190,451,"Austin",2024-10-04,230,"coupon",23,18.4,225.4
191,138,"Houston",2024-07-20,106.36,"coupon",10.64,8.51,104.23
192,161,"Austin",2024-09-08,83.97,"none",0,6.72,90.69
193,493,"Austin",2024-05-15,2091.99,"coupon",209.2,167.36,2050.15
194,310,"San Antonio",2024-11-27,165.16,"sale",16.52,13.21,161.85
195,469,"Houston",2024-12-23,951.5,"sale",95.15,76.12,932.47
196,234,"Houston",2024-10-07,76.5,"coupon",7.65,6.12,74.97
197,204,"Fort Worth",2024-01-05,680.13,"coupon",68.01,54.41,666.53
198,330,"Houston",2024-07-10,684.86,"loyalty",68.49,54.79,671.16
199,77,"Fort Worth",2024-10-19,406.99,"loyalty",40.7,32.56,398.85
200,287,"Dallas",2024-03-16,550.87,"none",0,44.07,594.94
201,120,"Fort Worth",2024-05-21,6,"sale",0.6,0.48,5.88
202,482,"Fort Worth",2024-07-17,116.98,"coupon",11.7,9.36,114.64
203,301,"Austin",2024-09-29,911.32,"coupon",91.13,72.91,893.1
204,258,"San Antonio",2024-05-01,787.37,"none",0,62.99,850.36
205,202,"Austin",2024-04-28,60.99,"none",0,4.88,65.87
206,441,"Fort Worth",2024-06-04,209.99,"loyalty",21,16.8,205.79
207,183,"Houston",2024-04-11,1173.5,"none",0,93.88,1267.38
208,145,"Houston",2024-08-17,989.96,"coupon",99,79.2,970.16
209,86,"San Antonio",2024-01-16,65.5,"loyalty",6.55,5.24,64.19
210,87,"Austin",2024-08-09,1271.87,"none",0,101.75,1373.62
211,242,"Austin",2024-06-01,285,"none",0,22.8,307.8
212,127,"Fort Worth",2024-01-16,264.49,"coupon",26.45,21.16,259.2
213,109,"Dallas",2024-12-29,703.93,"none",0,56.31,760.24
214,338,"Austin",2024-08-17,235.58,"none",0,18.85,254.43
215,24,"Houston",2024-11-03,359.79,"loyalty",35.98,28.78,352.59
216,351,"Fort Worth",2024-05-25,1006.29,"none",0,80.5,1086.79
217,176,"Dallas",2024-12-14,267.94,"none",0,21.44,289.38
218,205,"Fort Worth",2024-05-18,785.56,"coupon",78.56,62.84,769.84
219,411,"Houston",2024-10-27,412.15,"loyalty",41.22,32.97,403.9
220,460,"Fort Worth",2024-01-03,262.95,"none",0,21.04,283.99
221,142,"Dallas",2024-11-15,1202,"none",0,96.16,1298.16
222,481,"Austin",2024-01-28,309.28,"coupon",30.93,24.74,303.09
223,365,"Houston",2024-10-25,410.48,"sale",41.05,32.84,402.27
224,344,"Fort Worth",2024-08-02,870.24,"none",0,69.62,939.86
225,27,"Fort Worth",2024-09-06,293.29,"sale",29.33,23.46,287.42
226,198,"Houston",2024-09-18,2059.46,"none",0,164.76,2224.22
227,239,"Austin",2024-04-12,644.32,"none",0,51.55,695.87
228,281,"Dallas",2024-09-03,158,"none",0,12.64,170.64
229,350,"Fort Worth",2024-04-18,458.24,"sale",45.82,36.66,449.08
230,458,"Austin",2024-07-28,6.79,"none",0,0.54,7.33
231,310,"Houston",2024-01-21,460.79,"coupon",46.08,36.86,451.57
232,215,"Dallas",2024-05-07,261.08,"sale",26.11,20.89,255.86
233,272,"Dallas",2024-07-01,14,"loyalty",1.4,1.12,13.72
234,30,"Austin",2024-07-13,103,"coupon",10.3,8.24,100.94
235,131,"Dallas",2024-10-25,344,"none",0,27.52,371.52
236,199,"Houston",2024-07-05,129,"loyalty",12.9,10.32,126.42
237,99,"Houston",2024-11-06,1379.76,"sale",137.98,110.38,1352.16
238,416,"San Antonio",2024-08-05,78.99,"none",0,6.32,85.31
239,77,"Fort Worth",2024-07-15,14.97,"none",0,1.2,16.17
240,402,"Dallas",2024-08-17,511.16,"sale",51.12,40.89,500.93
241,274,"Houston",2024-04-16,389.36,"none",0,31.15,420.51
242,332,"Dallas",2024-07-26,494.5,"coupon",49.45,39.56,484.61
243,86,"San Antonio",2024-12-31,571.79,"none",0,45.74,617.53
244,317,"Austin",2024-12-02,410.33,"sale",41.03,32.83,402.13
245,156,"Fort Worth",2024-10-08,621.98,"sale",62.2,49.76,609.54
246,363,"Dallas",2024-11-04,497.29,"sale",49.73,39.78,487.34
247,200,"Austin",2024-12-03,474.08,"loyalty",47.41,37.93,464.6
248,485,"Houston",2024-08-07,858.08,"coupon",85.81,68.65,840.92
249,484,"Houston",2024-05-14,246.5,"none",0,19.72,266.22
250,364,"San Antonio",2024-09-30,117.79,"none",0,9.42,127.21
251,129,"Fort Worth",2024-06-26,724.44,"sale",72.44,57.96,709.96
252,111,"Austin",2024-01-02,120.49,"sale",12.05,9.64,118.08
253,297,"Austin",2024-09-03,453.5,"loyalty",45.35,36.28,444.43
254,134,"Houston",2024-05-27,757.79,"coupon",75.78,60.62,742.63
255,266,"Houston",2024-12-14,1997.39,"none",0,159.79,2157.18
256,393,"Fort Worth",2024-02-19,1480.16,"none",0,118.41,1598.57
257,85,"Houston",2024-05-18,758.58,"coupon",75.86,60.69,743.41
258,203,"Dallas",2024-11-25,478.5,"none",0,38.28,516.78
259,236,"Fort Worth",2024-10-21,424.5,"none",0,33.96,458.46
260,435,"Austin",2024-07-04,586,"sale",58.6,46.88,574.28
261,463,"Dallas",2024-01-07,69.29,"coupon",6.93,5.54,67.9
262,441,"San Antonio",2024-04-01,120.99,"sale",12.1,9.68,118.57
263,338,"Houston",2024-04-21,94.78,"loyalty",9.48,7.58,92.88
264,476,"Houston",2024-08-30,320.76,"none",0,25.66,346.42
265,259,"San Antonio",2024-02-05,468.99,"coupon",46.9,37.52,459.61
266,289,"Houston",2024-12-19,655.31,"none",0,52.42,707.73
267,169,"San Antonio",2024-11-13,322.74,"none",0,25.82,348.56
268,174,"Fort Worth",2024-04-14,41.99,"sale",4.2,3.36,41.15
269,11,"Houston",2024-06-08,320.99,"none",0,25.68,346.67
270,252,"Fort Worth",2024-05-04,11,"none",0,0.88,11.88
271,436,"Houston",2024-05-07,4.99,"none",0,0.4,5.39
272,4,"San Antonio",2024-04-21,616.94,"none",0,49.36,666.3
273,37,"Austin",2024-11-30,56,"none",0,4.48,60.48
274,83,"Austin",2024-04-13,225.79,"none",0,18.06,243.85
275,386,"Fort Worth",2024-11-13,644.45,"sale",64.45,51.56,631.56
276,368,"Austin",2024-10-25,165.5,"sale",16.55,13.24,162.19
277,486,"San Antonio",2024-03-08,318.37,"sale",31.84,25.47,312
278,234,"San Antonio",2024-03-24,160.99,"loyalty",16.1,12.88,157.77
279,38,"Dallas",2024-08-31,796.5,"loyalty",79.65,63.72,780.57
280,325,"Dallas",2024-06-20,525.41,"none",0,42.03,567.44
281,380,"Dallas",2024-02-10,901.9,"none",0,72.15,974.05
282,69,"Fort Worth",2024-02-23,30.5,"sale",3.05,2.44,29.89
283,199,"San Antonio",2024-04-26,956.78,"none",0,76.54,1033.32
284,113,"San Antonio",2024-08-10,115.28,"loyalty",11.53,9.22,112.97
285,29,"Austin",2024-12-12,355.58,"loyalty",35.56,28.45,348.47
286,198,"Dallas",2024-06-03,53.5,"none",0,4.28,57.78
287,33,"San Antonio",2024-12-05,461,"loyalty",46.1,36.88,451.78
288,113,"Austin",2024-02-06,171.48,"none",0,13.72,185.2
289,28,"Dallas",2024-11-13,198,"coupon",19.8,15.84,194.04
290,336,"Austin",2024-04-05,1153.36,"loyalty",115.34,92.27,1130.29
291,149,"Fort Worth",2024-04-13,1070.29,"none",0,85.62,1155.91
292,51,"Austin",2024-03-01,973.06,"sale",97.31,77.84,953.59
293,36,"Dallas",2024-01-11,277,"none",0,22.16,299.16
294,441,"Fort Worth",2024-02-05,238.99,"loyalty",23.9,19.12,234.21
295,378,"Dallas",2024-02-13,53.58,"sale",5.36,4.29,52.51
296,409,"Dallas",2024-03-12,463.95,"none",0,37.12,501.07
297,492,"San Antonio",2024-10-30,732.5,"none",0,58.6,791.1
298,52,"San Antonio",2024-01-06,367.94,"sale",36.79,29.44,360.59
299,50,"Fort Worth",2024-05-21,238.93,"coupon",23.89,19.11,234.15
300,400,"Austin",2024-11-30,83.5,"sale",8.35,6.68,81.83
301,393,"Houston",2024-01-06,800.58,"loyalty",80.06,64.05,784.57
302,5,"Austin",2024-04-23,95.58,"sale",9.56,7.65,93.67
303,390,"Austin",2024-06-05,627.98,"none",0,50.24,678.22
304,365,"Fort Worth",2024-07-24,53,"coupon",5.3,4.24,51.94
305,316,"San Antonio",2024-12-03,910.63,"coupon",91.06,72.85,892.42
306,241,"Austin",2024-07-08,674.15,"none",0,53.93,728.08
307,79,"Houston",2024-09-27,258,"loyalty",25.8,20.64,252.84
308,5,"Houston",2024-08-14,306.98,"coupon",30.7,24.56,300.84
309,227,"San Antonio",2024-03-16,199.79,"sale",19.98,15.98,195.79
310,247,"Houston",2024-07-05,292.35,"none",0,23.39,315.74
311,195,"Dallas",2024-01-23,489.98,"loyalty",49,39.2,480.18
312,233,"Dallas",2024-10-10,211,"none",0,16.88,227.88
313,357,"Fort Worth",2024-03-15,836.44,"none",0,66.92,903.36
314,28,"Dallas",2024-11-09,552.5,"coupon",55.25,44.2,541.45
315,178,"San Antonio",2024-07-07,528.5,"coupon",52.85,42.28,517.93
316,402,"Houston",2024-04-02,1587.46,"sale",158.75,127,1555.71
317,418,"San Antonio",2024-10-24,475.77,"none",0,38.06,513.83
318,119,"Dallas",2024-01-25,363,"coupon",36.3,29.04,355.74
319,177,"Austin",2024-01-10,172.58,"none",0,13.81,186.39
320,429,"Houston",2024-08-06,235,"loyalty",23.5,18.8,230.3
321,427,"Fort Worth",2024-11-05,902.79,"coupon",90.28,72.22,884.73
322,148,"Dallas",2024-06-14,196,"loyalty",19.6,15.68,192.08
323,74,"Fort Worth",2024-07-02,513,"none",0,41.04,554.04
324,352,"Dallas",2024-03-17,60.47,"coupon",6.05,4.84,59.26
325,52,"Fort Worth",2024-09-18,778.47,"loyalty",77.85,62.28,762.9
326,17,"Dallas",2024-07-15,210.06,"none",0,16.8,226.86
327,500,"Austin",2024-01-18,223.29,"loyalty",22.33,17.86,218.82
328,18,"Austin",2024-10-28,33.98,"none",0,2.72,36.7
329,170,"Houston",2024-04-02,1231.47,"none",0,98.52,1329.99
330,458,"San Antonio",2024-07-09,311.56,"loyalty",31.16,24.92,305.32
331,309,"Austin",2024-04-29,183.5,"none",0,14.68,198.18
332,144,"Dallas",2024-02-10,1024.76,"none",0,81.98,1106.74
333,369,"Austin",2024-11-07,678.96,"coupon",67.9,54.32,665.38
334,418,"San Antonio",2024-08-16,175.78,"coupon",17.58,14.06,172.26
335,158,"Austin",2024-11-06,577,"coupon",57.7,46.16,565.46
336,247,"Houston",2024-02-16,446,"none",0,35.68,481.68
337,349,"San Antonio",2024-09-01,2071.44,"none",0,165.72,2237.16
338,321,"San Antonio",2024-08-10,163.47,"sale",16.35,13.08,160.2
339,322,"Fort Worth",2024-12-12,26.79,"sale",2.68,2.14,26.25
340,489,"Austin",2024-07-31,115.94,"sale",11.59,9.28,113.63
341,208,"Dallas",2024-04-20,658.98,"coupon",65.9,52.72,645.8
342,60,"Austin",2024-12-08,952.22,"none",0,76.18,1028.4
343,264,"Dallas",2024-11-05,606.58,"sale",60.66,48.53,594.45
344,113,"Dallas",2024-06-04,1176.56,"sale",117.66,94.12,1153.02
345,244,"San Antonio",2024-06-26,1832.08,"none",0,146.57,1978.65
346,186,"Fort Worth",2024-10-08,227.79,"none",0,18.22,246.01
347,492,"Dallas",2024-04-02,586,"loyalty",58.6,46.88,574.28
348,195,"San Antonio",2024-10-24,1572,"none",0,125.76,1697.76
349,115,"Austin",2024-10-27,1432.47,"loyalty",143.25,114.6,1403.82
350,312,"Austin",2024-06-01,47.79,"loyalty",4.78,3.82,46.83
351,69,"Houston",2024-12-01,970.79,"coupon",97.08,77.66,951.37
352,484,"Houston",2024-01-26,6.5,"sale",0.65,0.52,6.37
353,258,"Houston",2024-10-23,940.15,"none",0,75.21,1015.36
354,82,"Houston",2024-06-26,114.75,"coupon",11.48,9.18,112.45
355,311,"Houston",2024-04-21,978.64,"loyalty",97.86,78.29,959.07
356,493,"Austin",2024-08-14,63.99,"none",0,5.12,69.11
357,335,"Houston",2024-04-26,331.87,"none",0,26.55,358.42
358,210,"Fort Worth",2024-08-26,18,"none",0,1.44,19.44
359,162,"Dallas",2024-12-01,94.97,"none",0,7.6,102.57
360,418,"Austin",2024-07-27,177.49,"loyalty",17.75,14.2,173.94
361,72,"San Antonio",2024-08-21,57.99,"loyalty",5.8,4.64,56.83
362,97,"Houston",2024-06-01,140.25,"coupon",14.03,11.22,137.44
363,449,"Fort Worth",2024-10-18,540.14,"none",0,43.21,583.35
364,155,"Austin",2024-11-11,721.93,"sale",72.19,57.75,707.49
365,182,"Dallas",2024-05-14,72.99,"loyalty",7.3,5.84,71.53
366,392,"Dallas",2024-06-27,163.55,"none",0,13.08,176.63
367,97,"Houston",2024-11-24,880.16,"none",0,70.41,950.57
368,9,"Austin",2024-06-18,145.79,"coupon",14.58,11.66,142.87
369,204,"Houston",2024-03-17,2240.93,"coupon",224.09,179.27,2196.11
370,242,"Houston",2024-09-04,993.79,"loyalty",99.38,79.5,973.91
371,211,"Dallas",2024-09-25,568.48,"sale",56.85,45.48,557.11
372,172,"Houston",2024-08-26,221.79,"loyalty",22.18,17.74,217.35
373,434,"Austin",2024-03-16,552.87,"none",0,44.23,597.1
374,228,"San Antonio",2024-12-17,276.53,"loyalty",27.65,22.12,271
375,267,"San Antonio",2024-01-03,99,"none",0,7.92,106.92
376,482,"Fort Worth",2024-11-26,1402.48,"none",0,112.2,1514.68
377,388,"Dallas",2024-02-02,328.37,"sale",32.84,26.27,321.8
378,105,"Fort Worth",2024-11-02,31.99,"loyalty",3.2,2.56,31.35
379,155,"Houston",2024-07-21,431.87,"none",0,34.55,466.42
380,486,"San Antonio",2024-08-08,959.99,"sale",96,76.8,940.79
381,293,"Austin",2024-10-23,102,"none",0,8.16,110.16
382,381,"Dallas",2024-04-06,1065.82,"none",0,85.27,1151.09
383,187,"Fort Worth",2024-01-15,288.9,"sale",28.89,23.11,283.12
